,faculty,price,purpose1,purpose2,purpose3,freaquency,gender,class label
135,1,4,0,1,7,0,2,"Tablet (Ipad , Galaxy Tabs)"
136,3,2,0,7,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
137,1,1,0,4,1,1,2,"Tablet (Ipad , Galaxy Tabs)"
138,7,4,3,0,1,3,2,Laptop (Notebook)
139,2,0,0,6,4,2,2,Laptop (Notebook)
140,1,0,0,4,1,3,2,Laptop (Notebook)
141,2,3,0,4,1,2,2,"Tablet (Ipad , Galaxy Tabs)"
142,7,1,0,4,7,1,2,Laptop (Notebook)
143,5,0,0,3,7,1,2,Laptop (Notebook)
144,2,2,0,6,7,0,1,Laptop (Notebook)
145,1,0,3,0,7,3,2,Laptop (Notebook)
146,2,0,0,3,7,1,1,Laptop (Notebook)
147,2,6,6,0,6,0,1,Laptop (Notebook)
148,0,3,0,7,4,0,1,Laptop (Notebook)
149,2,6,3,0,7,2,1,Laptop (Notebook)
150,3,2,0,5,4,2,1,Laptop (Notebook)
151,4,1,6,4,0,2,1,Laptop (Notebook)
152,3,0,0,5,3,1,1,"Tablet (Ipad , Galaxy Tabs)"
153,2,1,6,6,4,0,1,Laptop (Notebook)
154,3,2,0,5,7,0,0,"Tablet (Ipad , Galaxy Tabs)"
155,4,1,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
156,2,1,0,5,1,2,2,"Tablet (Ipad , Galaxy Tabs)"
157,2,1,5,0,4,2,1,"Tablet (Ipad , Galaxy Tabs)"
158,2,1,0,6,5,0,1,Laptop (Notebook)
159,2,6,1,6,7,1,1,Laptop (Notebook)
160,2,1,3,7,0,2,1,"Tablet (Ipad , Galaxy Tabs)"
161,2,1,0,4,3,1,1,"Tablet (Ipad , Galaxy Tabs)"
162,2,3,0,2,7,2,1,"Tablet (Ipad , Galaxy Tabs)"
163,2,0,3,7,6,0,0,Laptop (Notebook)
164,2,6,0,4,6,2,2,"Tablet (Ipad , Galaxy Tabs)"
165,2,2,0,5,4,1,2,Laptop (Notebook)
166,2,1,6,0,4,3,2,Laptop (Notebook)
167,2,6,6,1,0,1,1,Laptop (Notebook)
168,2,3,0,1,5,0,2,Laptop (Notebook)
169,2,0,0,5,4,1,1,Laptop (Notebook)
170,2,6,6,0,6,2,1,"Tablet (Ipad , Galaxy Tabs)"
171,3,0,0,4,3,2,1,"Tablet (Ipad , Galaxy Tabs)"
172,1,0,0,3,4,1,2,"Tablet (Ipad , Galaxy Tabs)"
173,2,1,0,3,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
174,2,1,0,0,0,2,2,Laptop (Notebook)
175,3,6,0,5,1,1,1,Laptop (Notebook)
176,3,3,0,4,3,2,2,Laptop (Notebook)
177,8,3,1,6,4,0,1,Laptop (Notebook)
178,8,3,5,4,7,0,1,"Tablet (Ipad , Galaxy Tabs)"
179,3,1,3,0,1,1,2,"Tablet (Ipad , Galaxy Tabs)"
180,6,0,0,5,4,0,2,Laptop (Notebook)
181,1,1,0,4,7,0,2,"Tablet (Ipad , Galaxy Tabs)"
182,1,0,0,4,7,0,2,Laptop (Notebook)
183,3,0,5,0,7,1,1,Laptop (Notebook)
184,3,0,5,0,7,1,1,Laptop (Notebook)
185,3,2,0,7,6,0,1,Laptop (Notebook)
186,1,1,0,4,7,2,0,"Tablet (Ipad , Galaxy Tabs)"
187,1,2,0,1,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
188,6,6,0,1,4,1,1,Laptop (Notebook)
189,4,2,0,3,1,1,2,Laptop (Notebook)
190,6,2,3,0,7,2,1,"Tablet (Ipad , Galaxy Tabs)"
191,2,6,3,7,0,2,2,"Tablet (Ipad , Galaxy Tabs)"
192,2,2,5,0,4,1,2,Laptop (Notebook)
193,2,2,3,0,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
194,1,0,0,4,1,1,2,Laptop (Notebook)
195,1,1,0,1,3,0,1,"Tablet (Ipad , Galaxy Tabs)"
196,7,0,0,4,7,0,2,Laptop (Notebook)
197,6,1,3,0,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
198,6,3,0,3,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
199,0,1,5,0,7,2,1,Laptop (Notebook)
200,1,1,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
201,6,1,0,4,7,0,2,Laptop (Notebook)
202,6,6,0,3,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
203,2,2,0,6,1,1,2,Laptop (Notebook)
204,3,3,0,5,7,2,1,"Tablet (Ipad , Galaxy Tabs)"
205,3,6,0,5,1,1,0,"Tablet (Ipad , Galaxy Tabs)"
206,6,3,0,7,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
207,6,2,0,1,4,1,2,"Tablet (Ipad , Galaxy Tabs)"
208,3,2,0,4,6,2,1,"Tablet (Ipad , Galaxy Tabs)"
209,3,2,4,7,4,2,1,"Tablet (Ipad , Galaxy Tabs)"
210,6,2,0,4,1,2,2,"Tablet (Ipad , Galaxy Tabs)"
211,6,1,0,3,5,0,2,"Tablet (Ipad , Galaxy Tabs)"
212,3,3,0,0,0,2,1,Laptop (Notebook)
213,3,6,0,7,5,3,1,Laptop (Notebook)
214,3,6,4,0,7,1,1,Laptop (Notebook)
215,6,4,0,4,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
216,2,6,0,6,7,1,1,Laptop (Notebook)
217,6,1,0,3,4,1,2,"Tablet (Ipad , Galaxy Tabs)"
218,2,2,5,0,4,1,0,Laptop (Notebook)
219,2,1,0,4,6,1,2,Laptop (Notebook)
220,2,1,0,4,7,2,0,"Tablet (Ipad , Galaxy Tabs)"
221,2,4,0,4,7,3,2,Laptop (Notebook)
222,2,2,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
223,2,1,0,6,4,0,2,Laptop (Notebook)
224,2,1,0,7,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
225,2,1,0,7,3,0,2,"Tablet (Ipad , Galaxy Tabs)"
226,1,0,0,4,1,1,1,"Tablet (Ipad , Galaxy Tabs)"
227,1,2,0,4,7,0,1,"Tablet (Ipad , Galaxy Tabs)"
228,1,3,0,7,1,2,1,"Tablet (Ipad , Galaxy Tabs)"
229,1,0,0,7,3,1,2,"Tablet (Ipad , Galaxy Tabs)"
230,4,0,0,4,5,0,2,Laptop (Notebook)
231,6,0,0,3,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
232,4,2,0,7,3,3,2,Laptop (Notebook)
233,6,0,0,4,7,0,2,"Tablet (Ipad , Galaxy Tabs)"
234,1,1,0,4,1,2,2,"Tablet (Ipad , Galaxy Tabs)"
235,1,1,0,4,7,0,2,Laptop (Notebook)
236,1,1,0,0,0,3,2,Laptop (Notebook)
237,6,1,0,7,1,1,2,"Tablet (Ipad , Galaxy Tabs)"
238,2,0,0,3,1,1,2,"Tablet (Ipad , Galaxy Tabs)"
239,2,0,0,7,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
240,3,6,6,0,4,2,1,Laptop (Notebook)
241,3,0,6,0,4,2,1,"Tablet (Ipad , Galaxy Tabs)"
242,1,2,0,7,4,3,2,Laptop (Notebook)
243,7,1,3,0,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
244,7,1,0,4,5,1,2,"Tablet (Ipad , Galaxy Tabs)"
245,1,0,0,7,1,2,2,Laptop (Notebook)
246,2,1,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
247,2,1,0,4,1,2,2,"Tablet (Ipad , Galaxy Tabs)"
248,6,0,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
249,6,0,0,4,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
250,9,6,0,6,5,1,1,Laptop (Notebook)
251,6,0,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
252,6,0,0,7,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
253,1,6,0,4,1,1,2,Laptop (Notebook)
254,1,0,0,4,1,0,2,Laptop (Notebook)
255,1,3,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
256,1,5,3,0,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
257,1,3,0,4,7,2,0,"Tablet (Ipad , Galaxy Tabs)"
258,1,6,0,4,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
259,6,1,0,5,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
260,6,4,4,0,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
261,6,1,0,7,4,2,2,Laptop (Notebook)
262,2,1,6,0,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
263,2,1,0,4,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
264,2,6,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
265,2,0,0,7,3,1,2,Laptop (Notebook)
266,2,1,0,4,7,2,2,Laptop (Notebook)
267,2,0,0,1,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
